shock,outcome,horizon,beta,se,tstat,pvalue,sig_flag
health,SI.POV.GINI,3,-0.3615996304192405,0.6802414422979864,-0.5315754200415772,0.5950200925805142,
health,SI.POV.GINI,4,-0.944397569570856,0.8120324538151382,-1.163004711368163,0.24482759090046935,
health,SI.POV.GINI,5,-0.8342569221975866,1.1823087559736514,-0.7056168010111384,0.4804264731798207,
health,SI.POV.GINI,6,-1.3260746996805564,0.964082402360864,-1.375478586097245,0.16898312008632876,
health,SI.POV.GINI,7,-1.6854525653627253,0.9453535770881166,-1.7828806133618975,0.07460573953617389,*
health,SI.POV.GINI,8,-1.8437337014768647,0.9077634897488135,-2.0310727654259844,0.042247613704994524,**
housing_living,log_gdppc_x100,0,5.957595625862432,3.4702005265546685,1.7167871367299148,0.08601807209306078,*
housing_living,log_gdppc_x100,1,4.8406497951636185,3.8898765596355944,1.2444224696983939,0.21334411736841785,
housing_living,log_gdppc_x100,2,2.383234871988896,4.614067037351686,0.5165150078436637,0.6054947597480953,
housing_living,log_gdppc_x100,3,1.6766781450712536,5.9602135715548465,0.28131175585271134,0.7784712943769243,
housing_living,log_gdppc_x100,4,2.641208987903635,6.600498737318261,0.400152941924013,0.6890438723378085,
housing_living,log_gdppc_x100,5,4.6124542206754455,6.537559174924142,0.7055315443059016,0.48047950849190935,
housing_living,log_gdppc_x100,6,6.253873889102195,7.167654294884087,0.8725133260913404,0.38292840149067775,
housing_living,log_gdppc_x100,7,5.835077253754403,7.567143196578641,0.771107021787646,0.4406434989046344,
housing_living,log_gdppc_x100,8,-0.7165574294979713,7.742940038318763,-0.09254332668880626,0.926266369172603,
housing_living,SI.POV.DDAY,0,-0.1385886611089694,1.1222560449376533,-0.12349112462715106,0.9017182020191765,
housing_living,SI.POV.DDAY,1,-0.18110061801140398,1.4470219513301994,-0.1251540226082432,0.9004016156080858,
housing_living,SI.POV.DDAY,2,-0.6117759881427409,1.4568002490043475,-0.41994500519948447,0.6745256292560939,
housing_living,SI.POV.DDAY,3,-0.5437106124115648,1.6142316957339815,-0.3368231548472618,0.7362502169292593,
housing_living,SI.POV.DDAY,4,-1.1264918757606157,1.6715146712044058,-0.6739347821272336,0.5003527777054331,
housing_living,SI.POV.DDAY,5,-2.1556173135252212,1.657617478403992,-1.3004310955991605,0.19345325807837166,
housing_living,SI.POV.DDAY,6,-2.897463200014305,1.4752754555013083,-1.9640150517041766,0.0495283464160281,**
housing_living,SI.POV.DDAY,7,-3.3212862198028255,1.3441298592100892,-2.4709563566682915,0.013475226301741694,**
housing_living,SI.POV.DDAY,8,-4.131411417487916,1.3342057986056421,-3.0965323504107016,0.0019579849604360877,***
