year,BFA,BRA,CHL,CHN,COL,IDN,IND,KEN,MAR,MEX,MLI,MYS,NER,PAK,PER,PHL,POL,RUS,SGP,THA,TUR,ZAF
2000,-47.22818436695593,-54.20411637070174,-389.09095002780305,636.5725009932089,-499.55205433669835,-212.68284202540417,-6.682472835345379,-91.96958380632896,-2.752769498849375,-115.69489348173374,-42.05919121984016,-40.42288334413024,-183.4764596526586,-13.64555137201387,-113.79518531030953,-21.332406110968805,1084.0314428446181,-2755.1666522391643,48206.092796002966,-288.92276092570137,-80.23699486452642,-61.84549699696436
2001,-99.72329604825518,-10.0749729470499,146.922363048845,850.4588563035495,-581.4747633643838,-189.15288812952713,-47.12855662824768,-169.3694657702722,117.04931974611736,-890.8235462224256,136.80934908169274,-132.59794707207038,-204.52559023946105,-45.499364263364896,-338.21717992173853,-74.1364220195228,1198.485488234186,-1140.9678342812658,44560.83141259031,91.9385573697673,-1397.6540019224976,-76.73030809618285
2002,-220.34183739705372,-85.57664912923792,-53.54880546293498,1156.1164260306214,-756.2470982676859,-274.22220645283596,-125.49323077173995,-353.9375817130185,227.16397874334962,-1865.490078256109,94.82743779964039,-171.67801430547843,-264.32123111301917,-133.87353071997995,-189.0476293153588,-110.2562519049834,1024.6064244713489,177.69919869989462,45420.867034309944,385.72006159425837,-1052.5053604914465,-89.31289278291297
2003,-211.38826334375267,-656.2483556381048,-296.23238665069584,1417.4839237005408,-671.1161407127456,-384.6031927073509,-113.60907603213172,-481.1012638808711,332.9131176500723,-3033.6245298150534,162.45107482109051,-566.1910874726855,-301.0660790364768,-119.2050965166004,-199.3490818556147,-91.25655467703382,776.2740542459796,1750.6921071381803,47815.80454590065,622.1014798274737,-1021.8684261066319,-370.19215316074224
2004,-288.8959058232201,-815.1249557411265,-502.498959646593,1704.6404758686422,-792.8094690396538,-443.5447212212448,-90.84770856259047,-542.01906481594,450.9523083520862,-4124.677241732934,70.71645039141367,-1182.556667483048,-386.97269107949046,-30.168479887460762,-225.37172179489608,-34.626022846251544,457.34392187792764,2874.6967555656774,52140.90757711059,580.0462088465065,-612.9467086647601,-572.6184639513631
2005,-353.19692971434097,-1191.056845304529,-485.25167453782706,2091.539414760683,-738.2618809007436,-383.8270681701988,-111.29249921885594,-616.7478334770644,488.9060854456038,-5269.738267772511,-35.63229478958465,-1658.65407962905,-430.0206258235819,38.22346104816006,-70.28853902802803,-101.65212404595059,25.335611988808523,4304.784508667188,54180.394900746716,445.8065712585685,-140.58596049739208,-609.6820410339733
2006,-470.41287336042365,-1725.6992464603263,-676.538765374411,2612.142546629916,-534.2164646872861,-374.77362317039297,-166.9123678588876,-732.7511917207439,720.3849324321436,-6151.5017802137845,-142.105463063157,-2238.5840621016796,-482.68983817047774,31.537052177396617,88.48074701464247,-178.7854448686703,59.16328821103161,5785.7514579872,56436.87566537861,335.511831757025,-97.02489489166328,-900.5034679929977
2007,-629.6063298562967,-1956.7522430175522,-1117.1058366826,3345.331318990985,-516.017585799902,-322.0522675061384,-261.0459855695326,-808.1731057225124,782.7730320250048,-7511.138220470995,-229.2420022117576,-2562.8858130837216,-550.5761305415683,-9.042733019957268,291.14226823391436,-201.81306912256332,358.11367663249257,8066.350506563933,57782.99358940337,314.70649360714015,-141.90903409109524,-1274.6946255415605
2008,-775.2033949700096,-1627.640286649057,-881.4536741005613,3980.780644598495,-750.3799783887207,-79.19242201910492,-468.6338313884926,-1086.784447239374,1021.3492987609607,-8310.577982077986,-313.5797013817555,-1849.7667188765263,-584.5606442052692,-101.76634694494987,751.4186022270023,-275.20248882276155,1034.3682000311019,10036.668696251221,52982.83023610291,394.33417723624916,-840.7956921974182,-1654.3084890938408
2009,-915.6839446914503,-1503.679159690415,-1322.5558088123908,4591.038204505319,-658.6827545878587,338.76590195187237,-389.3607176579271,-963.8126264478688,1332.4017019628827,-8761.118965671427,-282.17328068839834,-2377.2946069688733,-644.1080451519072,59.25146764513829,592.0329375704696,-272.6440302015162,2023.99737114468,8999.364401881918,53184.97574329735,168.88036123701022,-1482.9412834147188,-1849.3441182720253
