iso3,year,education,energy,health,housing_living,research_innovation,security_stability,composite
MYS,2013,1.6644806167946806,1.9281571246500724,1.5566157241370562,1.5672795102682473,2.470185563005409,0.5328138250449264,1.6199220606500653
MYS,2014,1.6133772331106166,1.940955292436866,1.493191193935838,1.5750541452185574,2.6565504122338623,0.5617255271727147,1.6401423006847426
MYS,2015,1.5972201183706423,1.9524252999224474,1.5434274628274527,1.5826584452688672,2.7339010150736294,0.5663744392069119,1.6626677967783252
MYS,2016,1.5227562384462314,1.9542423410570577,1.608712973422824,1.5901020298534425,2.860217516356195,0.5774849185332342,1.6855860029448306
MYS,2017,1.4698669118928038,1.9677638727671098,1.6867143284053205,1.5973609539406546,2.7061185865564585,0.5957469596790204,1.6705952688735612
MYS,2018,1.4860474430168955,1.9879018610247154,1.7654360556284556,1.6034895059441996,2.513817513246551,0.6089310251694481,1.6609372340050443
MYS,2019,1.395038837147587,2.0035370735892606,1.8190005281008117,1.6104372852876567,2.1879764978535254,0.6127087068701497,1.6047831548081655
MYS,2020,1.4433993903411477,1.9339688799211834,1.881262747195043,1.8126076599809955,1.9188472940599073,0.6252370050630659,1.6025538294268904
MYS,2021,1.454171228718405,1.9442856648724736,1.8975137929612163,1.8149904453087191,1.9927366048227453,0.6278557619709378,1.6219255831090829
MYS,2022,1.254718721193667,2.007151929829437,1.8616753890456634,1.816903917122871,2.24538856992402,0.6290418538527721,1.6358133968280717
MYS,2023,1.4283431249077123,2.007316373687168,1.9354130233282536,1.81875719398438,2.263062678182418,0.6260735141519026,1.6798276513736392
MYS,2024,1.3443890810368215,2.007316373687168,1.9409637098800199,1.6270373004602807,2.2405539253391846,0.6260735141519026,1.6310556507592298
NER,1990,-3.70785845700491,-3.995343785014219,-8.332904310905102,-3.409903821658887,-1.1589899722839192,,-4.121000069373407
NER,1991,-3.686732325018503,-4.0483217943753145,-8.060644392882446,-3.409685964879995,-1.1687793553175754,,-4.074832766494767
NER,1992,-3.6830708487175694,-4.130904104459099,-8.059033944441518,-3.4094251773729414,-1.1785782790996622,,-4.092202470818157
NER,1993,-3.6337720154503486,-4.139369655910765,-7.854147836065245,-3.409108043979922,-1.1884571087217888,,-4.044970932025614
NER,1994,-3.6602671130450495,-4.163103388220772,-7.558317863815854,-3.4087244663999643,-1.1984537156668373,,-3.997773309429695
NER,1995,-3.7019171073150856,-4.146238532883962,-6.692083929815086,-3.4082505043159346,-1.2086808520168775,,-3.8314341852693885
NER,1996,-3.6918558323471893,-4.1179885848637205,-6.4603558751321835,-3.4067407248448878,-1.2584533951218624,,-3.7870788824619686
NER,1997,-3.6425679415758454,-4.130669259374983,-6.275377962689258,-3.406278460227714,-1.2282659216829228,,-3.7366319091101445
NER,1998,-3.643068871990508,-4.0999658093417075,-6.0283739411476045,-3.405718523130003,-1.2386123171074956,,-3.683147892543464
NER,1999,-3.586853097070061,-4.104343844131576,-5.780602552961567,-3.405059704572274,-1.256929313910546,,-3.626757702529205
NER,2000,-3.5960655702145385,-4.095962384047564,-5.396968001218254,-3.768379505234805,-1.272010316248509,,-3.625877155392734
NER,2001,-3.8475878717790195,-4.074805207950682,-5.189602614136069,-3.731939163321713,-1.4623543337737854,,-3.661257838192254
NER,2002,-3.6947131934352964,-4.066840716355937,-4.978004797222617,-3.6979148069682655,-1.4510163252403647,,-3.577697967844496
NER,2003,-3.697180136622172,-4.058897348092725,-4.785684326551305,-3.6640995646845385,-1.532866099014569,,-3.5477454949930616
NER,2004,-3.538024950463561,-4.027560374266187,-4.511166104150002,-3.6305206162701733,-1.5155923972249836,,-3.444572888474981
NER,2005,-3.3717952747432434,-4.032965622893585,-4.038305946491232,-3.59718496136855,-1.5498416415668035,,-3.318018689412683
NER,2006,-3.140221530018278,-4.006571905176747,-3.6034629637568956,-3.56408771908876,-1.5198413193278286,,-3.1668370874737013
NER,2007,-2.9283435968025198,-3.922458990501082,-3.4497812998015434,-3.53125549719049,-1.3963441749470582,,-3.0456367118485383
NER,2008,-3.027998190888368,-3.8935283288876685,-3.2278226235395446,-3.4987142129630158,-1.2426882670817145,,-2.978150324672062
NER,2009,-2.839323601896959,-3.81465123208091,-3.0228388128325485,-3.4664120626502615,-1.363616226861909,,-2.901368387264518
NER,2010,-2.8968789949076554,-3.7172469785193285,-3.0246159453112567,-3.434375156771991,-1.6552916022975905,,-2.945681735561565
NER,2011,-2.7718213543530776,-3.6340313562457207,-2.9174990492997614,-3.4026290039479754,-1.9612808548707652,0.3412086695838944,-2.3910088248555676
NER,2012,-2.653120345332153,-3.508577902635131,-2.827005921578001,-3.371122604655577,-1.7010396387995432,0.3703802318197831,-2.281747696863437
NER,2013,-2.515243148667038,-3.591254350444704,-2.655752314250232,-3.339881792814298,-0.026413402404839952,0.3703802318197831,-1.9596941294602213
NER,2014,-2.130501339418208,-3.543999810652209,-2.596379225410462,-3.308533972766315,0.17233626877147543,0.3703802318197831,-1.8394496412759889
NER,2015,-2.0449134659161694,-3.518553457928255,-2.39830378898037,-3.276375533240482,-1.4797367036571534,0.3703802318197831,-2.057917119650441
NER,2016,-2.0177612617241576,-3.4743284487784942,-2.609390633387561,-3.244124538138078,-1.8376046240907586,,-2.63664190122381
NER,2017,-2.102841865414506,-3.540878653984143,-2.2759986337448783,-3.2117382646690618,-1.3902365833567865,,-2.5043388002338753
NER,2018,-2.0407778272373687,-3.5271983689059976,-2.400933753546807,-3.1792718038692622,-1.7260961821158505,,-2.5748555871350574
NER,2019,-2.08548064357111,-3.4460137638811537,-2.2576577005741645,-3.146682165094429,-1.8553452253623617,,-2.5582358996966437
NER,2020,-2.082535176519847,-3.4653842498947114,-2.220307323436451,-3.1139752225204167,-1.5980050912016595,,-2.496041412714617
NER,2021,-2.1430744211633463,-3.4655952119504456,-2.1850808302083093,-3.081179767274345,-0.8992258328322281,,-2.3548312126857347
NER,2022,-2.3318053718788403,-3.3884711917377275,-2.669683026931277,-3.0482529201271724,-1.5308390565016314,,-2.5938103134353296
NER,2023,-2.4327733262580957,-3.347739859003317,-2.3467973139691165,-3.0152225500629335,-1.7247202119145089,,-2.5734506522415943
NER,2024,-2.565004503589019,-3.347739859003317,-2.2777226624078835,-2.9820689509853837,-1.7469669015162954,,-2.5839005755003797
PAK,1990,-2.341448422294611,-1.4780782918114048,-4.324201633167598,-2.0126254315960033,-1.8735220979438416,0.18646191178906718,-1.9739023275040652
PAK,1991,-2.3664065295461136,-1.432720010131156,-4.203261047442113,-1.9577280139370117,-1.8860292128206364,0.19255897421177348,-1.9422643066108762
PAK,1992,-2.3856875375010143,-1.287029854988764,-4.078678078572617,-1.9083374334195988,-1.9485180533097795,0.19865603663447975,-1.9015991535262156
PAK,1993,-2.36867818918071,-1.2572245638089778,-3.9764001467308723,-1.8591670553174062,-1.9410194965700502,0.204753099057186,-1.866289392091805
PAK,1994,-2.3840497608911964,-1.2336138565041994,-3.852402980613532,-1.8067197193706912,-1.855241776447725,0.204753099057186,-1.8212124991283594
PAK,1995,-2.399685595521155,-1.179760543306126,-3.904227212271837,-1.7529230784350769,-1.9523522610467576,0.204753099057186,-1.830699265253961
PAK,1996,-2.400978034442277,-1.157487395133651,-3.720930956218009,-1.6973210169766788,-2.0793585462403543,0.22304428632530485,-1.8055052771142777
PAK,1997,-2.4218608279836173,-1.1535780447562094,-3.563308949743855,-1.641740903276024,-2.0572820583001543,0.2239188499124005,-1.7689753223579097
PAK,1998,-2.515902193518512,-1.2399211133188253,-3.4075322078954287,-1.5859905166436736,-2.0473340484198568,0.19163056336870593,-1.7675082527379316
PAK,1999,-2.518712456291677,-1.2013503649637853,-3.25297941236281,-1.529691704156119,-2.0421046617580827,0.24680577445872565,-1.7163388041789585
PAK,2000,-2.37083522972545,-1.1598660887440941,-3.0911278036409993,-1.3958218497668446,-2.057058689852005,0.27788323995399694,-1.6328044036292324
PAK,2001,-2.3242712260322747,-1.1474057782286067,-2.9830959705324265,-1.3681143097557442,-1.988419858829425,0.25894717326449956,-1.5920599950189962
