date,nav
2020-01-31,1.6526120252063967
2020-02-29,1.5642072604229027
2020-03-31,1.314535807069798
2020-04-30,1.4010158564059925
2020-05-31,1.4499478720097896
2020-06-30,1.518048045893295
2020-07-31,1.5909809849708232
2020-08-31,1.6505064606474638
2020-09-30,1.5789759944422117
2020-10-31,1.5035487710491564
2020-11-30,1.7326496162941776
2020-12-31,1.8179220843543122
2021-01-31,1.8606695299251135
2021-02-28,1.8697204734062332
2021-03-31,1.8501091845497721
2021-04-30,1.924937593312433
2021-05-31,2.0151845103279213
2021-06-30,1.975665106952811
2021-07-31,1.9036423061514738
2021-08-31,1.9266736290385802
2021-09-30,1.8551170910609844
2021-10-31,1.9433389862661452
2021-11-30,1.7848127477730373
2021-12-31,1.7889007045690508
2022-01-31,1.7639158794629957
2022-02-28,1.648615949519618
2022-03-31,1.624808714503303
2022-04-30,1.4738558040390666
2022-05-31,1.4982123426094671
2022-06-30,1.457172164689035
2022-07-31,1.4251766293528976
2022-08-31,1.3496463190607717
2022-09-30,1.195272990635057
2022-10-31,1.194230000954602
2022-11-30,1.452829150140656
2022-12-31,1.4810984797355224
2023-01-31,1.6247998721071069
2023-02-28,1.5038799720740934
2023-03-31,1.5347914370098859
2023-04-30,1.5840370019367978
2023-05-31,1.4855408943688568
2023-06-30,1.5830314152554146
2023-07-31,1.7394449180407918
2023-08-31,1.5863981817622965
2023-09-30,1.5044456913308635
2023-10-31,1.5449255221963396
2023-11-30,1.617641880017212
2023-12-31,1.6834411912465552
2024-01-31,1.5776020404538595
2024-02-29,1.6487960982711942
2024-03-31,1.6834381590192613
2024-04-30,1.7267034535924932
2024-05-31,1.8160349049052
2024-06-30,1.790821151778783
2024-07-31,1.784902636833736
2024-08-31,1.8310519068643722
2024-09-30,2.0003125863295295
2024-10-31,1.9003265631369035
2024-11-30,1.9112938442305996
2024-12-31,1.8960342016508391
